date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:51	113596/113596	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20May%202020%2020:59:19%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/77104B282ED6C-F90F-452D-9B12-A17DAB8B33D4_1_105_c.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/77104B282ED6C-F90F-452D-9B12-A17DAB8B33D4_1_105_cb729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:52	217064/217064	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2002:04:10%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/48285IMG_3537.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/48285IMG_3537b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:53	222973/222973	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20May%202020%2016:12:26%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/71651IMG_3536.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/71651IMG_3536b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:54	247921/247921	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2022:39:37%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/66720IMG_3532.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/66720IMG_3532b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:55	264956/264956	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20May%202020%2019:41:26%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/74613IMG_3531.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/74613IMG_3531b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:56	237479/237479	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202020%2011:40:45%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/40207IMG_3533.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/40207IMG_3533b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:57	247594/247594	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:08:56%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/51319IMG_3529-1.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/51319IMG_3529-1b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:57	54666/54666	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:08:57%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/95699IMG_3549.JPG?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/95699IMG_3549b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:08:58	56012/56012	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2022:43:54%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/36362IMG_3548.JPG?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/36362IMG_3548b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:00	241949/241949	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:08:59%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4117IMG_3141.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4117IMG_3141b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:01	266637/266637	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:00%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/83234IMG_3347.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/83234IMG_3347b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:02	248256/248256	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20May%202020%2017:46:54%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/28682IMG_3343.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/28682IMG_3343b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
